,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
78,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,0.0,0,52.0,,,100.0,0,0.0,0.0,0.0,0.0,,30.0,,,,0.0,,,,,,,,
79,13,New Brunswick,Nouveau-Brunswick,12-03-2020,0,1,0.0,1,44.0,,,57.0,1,0.0,0.13,0.0,0.0,0.0,0.0,,100.0,1.0,0.13,,,,,,,,
80,12,Nova Scotia,Nouvelle-Écosse,12-03-2020,0,0,0.0,0,182.0,,,187.0,0,0.0,0.0,0.0,0.0,,79.0,,,,0.0,,,,,,,,
81,11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
82,60,Yukon,Yukon,12-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
83,61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,0,0,0.0,0,34.0,,,758.0,0,0.0,0.0,0.0,0.0,,34.0,,,,0.0,,,,,,,,
84,62,Nunavut,Nunavut,12-03-2020,0,0,0.0,0,1.0,,,26.0,0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,,,,,,,,
85,99,Repatriated travellers,Voyageurs rapatriés,12-03-2020,1,0,0.0,1,29.0,,,,0,0.0,,,0.0,0.0,0.0,,100.0,1.0,,,,,,,,,
86,1,Canada,Canada,12-03-2020,138,3,2.0,141,15185.0,,,404.0,38,36.89,0.38,0.01,0.0,1.42,4162.0,,98.58,139.0,0.37,,,,,,,,
87,59,British Columbia,Colombie-Britannique,13-03-2020,53,0,1.0,53,5195.0,,,1024.0,7,15.22,1.05,0.02,0.0,1.89,0.0,,98.11,52.0,1.03,,,,,,,,
88,48,Alberta,Alberta,13-03-2020,23,0,0.0,23,4109.0,,,940.0,4,21.05,0.53,0.0,0.0,0.0,0.0,,100.0,23.0,0.53,,,,,,,,
89,47,Saskatchewan,Saskatchewan,13-03-2020,0,1,0.0,1,285.0,,,243.0,0,0.0,0.09,0.0,0.0,0.0,0.0,,100.0,1.0,0.09,,,,,,,,
90,46,Manitoba,Manitoba,13-03-2020,1,2,0.0,3,352.0,,,257.0,2,200.0,0.22,0.0,0.0,0.0,0.0,,100.0,3.0,0.22,,,,,,,,
91,35,Ontario,Ontario,13-03-2020,79,0,1.0,79,4185.0,,,287.0,20,33.9,0.54,0.01,0.0,1.27,0.0,,98.73,78.0,0.54,,,,,,,,
92,24,Quebec,Québec,13-03-2020,17,0,0.0,17,740.0,,,87.0,4,30.77,0.2,0.0,0.0,0.0,0.0,,100.0,17.0,0.2,,,,,,,,
93,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,0,0,0.0,0,52.0,,,100.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
94,13,New Brunswick,Nouveau-Brunswick,13-03-2020,1,0,0.0,1,44.0,,,57.0,0,0.0,0.13,0.0,0.0,0.0,0.0,,100.0,1.0,0.13,,,,,,,,
95,12,Nova Scotia,Nouvelle-Écosse,13-03-2020,0,0,0.0,0,182.0,,,187.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
96,11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
97,60,Yukon,Yukon,13-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
98,61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,0,0,0.0,0,34.0,,,758.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
99,62,Nunavut,Nunavut,13-03-2020,0,0,0.0,0,1.0,,,26.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
100,99,Repatriated travellers,Voyageurs rapatriés,13-03-2020,2,0,0.0,2,29.0,,,,1,100.0,,,0.0,0.0,0.0,,100.0,2.0,,,,,,,,,
101,1,Canada,Canada,13-03-2020,176,3,2.0,179,15185.0,,,404.0,38,26.95,0.48,0.01,0.0,1.12,0.0,,98.88,177.0,0.47,,,,,,,,
102,59,British Columbia,Colombie-Britannique,14-03-2020,64,0,1.0,64,7033.0,,,1387.0,11,20.75,1.26,0.02,0.0,1.56,1838.0,,98.44,63.0,1.24,,,,,,,,
103,48,Alberta,Alberta,14-03-2020,29,0,0.0,29,5247.0,,,1200.0,6,26.09,0.66,0.0,0.0,0.0,1138.0,,100.0,29.0,0.66,,,,,,,,
104,47,Saskatchewan,Saskatchewan,14-03-2020,0,2,0.0,2,349.0,,,297.0,1,100.0,0.17,0.0,0.0,0.0,64.0,,100.0,2.0,0.17,,,,,,,,
105,46,Manitoba,Manitoba,14-03-2020,1,3,0.0,4,837.0,,,611.0,1,33.33,0.29,0.0,0.0,0.0,485.0,,100.0,4.0,0.29,,,,,,,,
106,35,Ontario,Ontario,14-03-2020,79,0,1.0,79,6646.0,,,456.0,0,0.0,0.54,0.01,0.0,1.27,2461.0,,98.73,78.0,0.54,,,,,,,,
107,24,Quebec,Québec,14-03-2020,17,0,0.0,17,1584.0,,,187.0,0,0.0,0.2,0.0,0.0,0.0,844.0,,100.0,17.0,0.2,,,,,,,,
108,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,0,0,0.0,0,62.0,,,119.0,0,0.0,0.0,0.0,0.0,,10.0,,,,0.0,,,,,,,,
109,13,New Brunswick,Nouveau-Brunswick,14-03-2020,1,1,0.0,2,82.0,,,106.0,1,100.0,0.26,0.0,0.0,0.0,38.0,,100.0,2.0,0.26,,,,,,,,
110,12,Nova Scotia,Nouvelle-Écosse,14-03-2020,0,0,0.0,0,481.0,,,495.0,0,0.0,0.0,0.0,0.0,,299.0,,,,0.0,,,,,,,,
111,11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
112,60,Yukon,Yukon,14-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
113,61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,0,0,0.0,0,76.0,,,1695.0,0,0.0,0.0,0.0,0.0,,42.0,,,,0.0,,,,,,,,
114,62,Nunavut,Nunavut,14-03-2020,0,0,0.0,0,6.0,,,155.0,0,0.0,0.0,0.0,0.0,,5.0,,,,0.0,,,,,,,,
115,99,Repatriated travellers,Voyageurs rapatriés,14-03-2020,2,0,0.0,2,29.0,,,,0,0.0,,,0.0,0.0,0.0,,100.0,2.0,,,,,,,,,
116,1,Canada,Canada,14-03-2020,193,6,2.0,199,22409.0,,,596.0,20,11.17,0.53,0.01,0.0,1.01,7224.0,,98.99,197.0,0.52,,,,,,,,
117,59,British Columbia,Colombie-Britannique,15-03-2020,73,0,1.0,73,7033.0,,,1387.0,9,14.06,1.44,0.02,0.0,1.37,0.0,,98.63,72.0,1.42,,,,,,,,
118,48,Alberta,Alberta,15-03-2020,39,0,0.0,39,5247.0,,,1200.0,10,34.48,0.89,0.0,0.0,0.0,0.0,,100.0,39.0,0.89,,,,,,,,
119,47,Saskatchewan,Saskatchewan,15-03-2020,0,2,0.0,2,349.0,,,297.0,0,0.0,0.17,0.0,0.0,0.0,0.0,,100.0,2.0,0.17,,,,,,,,
120,46,Manitoba,Manitoba,15-03-2020,4,0,0.0,4,837.0,,,611.0,0,0.0,0.29,0.0,0.0,0.0,0.0,,100.0,4.0,0.29,,,,,,,,
121,35,Ontario,Ontario,15-03-2020,103,0,1.0,103,8461.0,,,581.0,24,30.38,0.71,0.01,0.0,0.97,1815.0,,99.03,102.0,0.7,,,,,,,,
122,24,Quebec,Québec,15-03-2020,24,0,0.0,24,2337.0,,,275.0,7,41.18,0.28,0.0,0.0,0.0,753.0,,100.0,24.0,0.28,,,,,,,,
123,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-03-2020,0,1,0.0,1,62.0,,,119.0,1,0.0,0.19,0.0,0.0,0.0,0.0,,100.0,1.0,0.19,,,,,,,,
124,13,New Brunswick,Nouveau-Brunswick,15-03-2020,1,1,0.0,2,82.0,,,106.0,0,0.0,0.26,0.0,0.0,0.0,0.0,,100.0,2.0,0.26,,,,,,,,
125,12,Nova Scotia,Nouvelle-Écosse,15-03-2020,0,0,0.0,0,481.0,,,495.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
126,11,Prince Edward Island,Île-du-Prince-Édouard,15-03-2020,1,0,0.0,1,6.0,,,38.0,1,0.0,0.64,0.0,0.0,0.0,0.0,,100.0,1.0,0.64,,,,,,,,
127,60,Yukon,Yukon,15-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
128,61,Northwest Territories,Territoires du Nord-Ouest,15-03-2020,0,0,0.0,0,76.0,,,1695.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
129,62,Nunavut,Nunavut,15-03-2020,0,0,0.0,0,6.0,,,155.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
130,99,Repatriated travellers,Voyageurs rapatriés,15-03-2020,4,0,0.0,4,29.0,,,,2,100.0,,,0.0,0.0,0.0,,100.0,4.0,,,,,,,,,
131,1,Canada,Canada,15-03-2020,249,4,2.0,253,24977.0,,,664.0,54,27.14,0.67,0.01,0.0,0.79,2568.0,,99.21,251.0,0.67,,,,,,,,
132,59,British Columbia,Colombie-Britannique,16-03-2020,73,0,4.0,73,9926.0,,,1957.0,0,0.0,1.44,0.08,3.0,5.48,2893.0,,94.52,69.0,1.36,,,,,,,,
133,48,Alberta,Alberta,16-03-2020,56,0,0.0,56,10238.0,,,2342.0,17,43.59,1.28,0.0,0.0,0.0,4991.0,,100.0,56.0,1.28,,,,,,,,
134,47,Saskatchewan,Saskatchewan,16-03-2020,1,5,0.0,6,881.0,,,750.0,4,200.0,0.51,0.0,0.0,0.0,532.0,,100.0,6.0,0.51,,,,,,,,
135,46,Manitoba,Manitoba,16-03-2020,4,3,0.0,7,1848.0,,,1349.0,3,75.0,0.51,0.0,0.0,0.0,1011.0,,100.0,7.0,0.51,,,,,,,,
